title,app_id,app_type,developer,publisher,platforms,technologies,last_changenumber,last_record_update,release_date,positive_reviews_per,total_reviews,player_count_now,multiplayer,steam_trading_cards,valve_anti_cheat,in_app_purchases,steam_workshop,cloud_gaming,cross_platform_multiplayer,stats,remote_play_on_phone,remote_play_on_tablet,sys_date,href
Hades,1145360,Game,Supergiant Games,Supergiant Games,Windows macOS,"Essence_Engine Engine , XNA Engine , EpicOnlineServices SDK",31897983,25 October 2025 – 11:19:15 UTC ( ),17 September 2020 – 14:37:36 UTC ( ),98.16,289966,,0,1,0,0,0,0,0,0,1,1,2025-10-25T18:48:15.095916,https://steamdb.info/app/1145360/charts/
Icarus,1149460,Game,RocketWerkz,RocketWerkz,Windows,"Unreal Engine , EpicOnlineServices SDK",31894737,25 October 2025 – 03:19:49 UTC ( ),3 December 2021 – 21:28:00 UTC ( ),72.83,50247,,1,0,0,0,0,1,0,0,0,0,2025-10-25T18:48:53.332009,https://steamdb.info/app/1149460/charts/
Brotato,1942280,Game,Blobfish,Blobfish,Windows,Godot Engine,31892632,24 October 2025 – 23:19:14 UTC ( ),23 June 2023 – 09:59:35 UTC ( ),96.57,103346,,1,1,0,0,1,0,0,0,0,0,2025-10-25T18:49:18.932215,https://steamdb.info/app/1942280/charts/
Kenshi,233860,Game,Lo-Fi Games,Lo-Fi Games,Windows,OGRE Engine,29627509,18 June 2025 – 11:13:25 UTC ( ),6 December 2018 – 11:57:36 UTC ( ),95.53,104227,,0,1,0,0,1,1,0,0,0,0,2025-10-25T18:49:38.718647,https://steamdb.info/app/233860/charts/
The Outer Worlds 2,1449110,Game,Obsidian Entertainment,Xbox Game Studios,Windows,Unreal Engine,31901474,25 October 2025 – 17:54:25 UTC ( ),29 October 2025 – 17:00:00 UTC ( ),86.71,459,,0,1,0,0,0,1,0,1,0,0,2025-10-25T18:49:57.330630,https://steamdb.info/app/1449110/charts/
F1® 25,3059520,Game,Codemasters,Electronic Arts,Windows,"EA_AntiCheat AntiCheat , TheiaAntiTamper AntiCheat",31882966,24 October 2025 – 13:26:12 UTC ( ),30 May 2025 – 15:03:00 UTC ( ),85.82,10534,,1,0,0,1,1,0,0,0,0,0,2025-10-25T18:50:17.050558,https://steamdb.info/app/3059520/charts/
Torchlight: Infinite,1974050,Game,XD,XD,Windows,Unreal Engine,31722318,17 October 2025 – 08:08:22 UTC ( ),10 May 2023 – 00:19:41 UTC ( ),69.73,17642,,1,0,0,1,0,0,1,0,0,0,2025-10-25T18:50:39.384185,https://steamdb.info/app/1974050/charts/
Supermarket Together,2709570,Game,DeadDevsTellNoLies,DeadDevsTellNoLies,Windows,Unity Engine,31800080,20 October 2025 – 17:53:04 UTC ( ),9 August 2024 – 14:13:46 UTC ( ),94.66,77765,,1,0,0,0,0,1,0,0,0,0,2025-10-25T18:51:29.116954,https://steamdb.info/app/2709570/charts/
"Warhammer 40,000: Darktide",1361210,Game,Fatshark,Fatshark,Windows,Bitsquid Engine,31884336,24 October 2025 – 14:33:46 UTC ( ),30 November 2022 – 18:00:00 UTC ( ),71.16,120817,,1,0,0,1,0,1,1,0,0,0,2025-10-25T18:51:59.355536,https://steamdb.info/app/1361210/charts/
Legends of Idleon MMO,1476970,Game,Lavaflame2,Lavaflame2,Windows,Electron Container,31718138,17 October 2025 – 01:53:14 UTC ( ),2 April 2021 – 16:56:00 UTC ( ),79.83,23447,,1,0,0,1,0,0,1,0,0,0,2025-10-25T18:52:26.013758,https://steamdb.info/app/1476970/charts/
Off The Grid,3659280,Game,Gunzilla Games,Gunzilla Games,Windows,"EasyAntiCheat AntiCheat , Unreal Engine , EpicOnlineServices SDK",31898772,25 October 2025 – 13:07:22 UTC ( ),17 July 2025 – 13:00:23 UTC ( ),55.35,1532,,1,0,0,1,0,0,1,0,0,0,2025-10-25T18:52:48.860556,https://steamdb.info/app/3659280/charts/
Summoners War,2426960,Game,Com2uS,Com2uS,Windows,nProtect_GameGuard AntiCheat,31674895,15 October 2025 – 02:00:30 UTC ( ),8 January 2024 – 02:00:39 UTC ( ),71.25,9256,,1,0,0,1,0,0,0,0,0,0,2025-10-25T18:53:11.162282,https://steamdb.info/app/2426960/charts/
Dying Light 2: Reloaded Edition,534380,Game,Techland,Techland,Windows,"ChromeEngine Engine , EpicOnlineServices SDK",31893489,25 October 2025 – 00:44:26 UTC ( ),4 February 2022 – 00:00:00 UTC ( ),79.01,204174,,1,1,0,0,0,1,0,0,0,0,2025-10-25T18:53:55.912233,https://steamdb.info/app/534380/charts/
"Warhammer 40,000: Rogue Trader",2186680,Game,Owlcat Games,Owlcat Games,Windows macOS,"Unity Engine , EpicOnlineServices SDK",31880933,24 October 2025 – 11:28:33 UTC ( ),7 December 2023 – 15:55:00 UTC ( ),86.66,36150,,1,1,0,0,1,1,0,0,0,0,2025-10-25T18:54:40.828558,https://steamdb.info/app/2186680/charts/
Manor Lords,1363080,Game,Slavic Magic,Hooded Horse,Windows,"Unreal Engine , EpicOnlineServices SDK",31880890,24 October 2025 – 11:26:46 UTC ( ),26 April 2024 – 12:59:22 UTC ( ),85.0,77757,,0,0,0,0,0,1,0,0,0,0,2025-10-25T18:55:35.832088,https://steamdb.info/app/1363080/charts/
Upload Labs,3606890,Game,EnigmaDev Studios,EnigmaDev Studios,Windows Linux,Godot Engine,31896366,25 October 2025 – 07:19:40 UTC ( ),3 October 2025 – 17:59:51 UTC ( ),86.18,1664,,0,0,0,0,0,0,0,0,0,0,2025-10-25T18:56:16.316069,https://steamdb.info/app/3606890/charts/
The Forest,242760,Game,Endnight Games Ltd,Endnight Games Ltd,Windows,Unity Engine,31467697,3 October 2025 – 17:01:24 UTC ( ),30 April 2018 – 16:58:00 UTC ( ),95.54,645101,,1,0,0,0,0,1,0,0,0,0,2025-10-25T18:57:12.821043,https://steamdb.info/app/242760/charts/
TEKKEN 8,1778820,Game,Bandai Namco Studios Inc.,Bandai Namco Entertainment,Windows,Unreal Engine,31889313,24 October 2025 – 19:00:47 UTC ( ),25 January 2024 – 23:02:00 UTC ( ),54.87,64586,,1,1,0,0,0,0,0,0,0,0,2025-10-25T18:57:55.035454,https://steamdb.info/app/1778820/charts/
Conan Exiles,440900,Game,Funcom,Funcom,Windows,"BattlEye AntiCheat , Electron Container , Unreal Engine , EpicOnlineServices SDK",31895535,25 October 2025 – 05:06:22 UTC ( ),8 May 2018 – 10:40:00 UTC ( ),78.78,109258,,1,1,0,0,1,1,0,0,0,0,2025-10-25T18:58:13.998937,https://steamdb.info/app/440900/charts/
Tabletop Simulator,286160,Game,Berserk Games,Berserk Games,Windows macOS Linux,Unity Engine,31282767,24 September 2025 – 11:16:37 UTC ( ),5 June 2015 – 19:57:28 UTC ( ),94.49,72633,,1,1,0,0,1,0,0,0,0,0,2025-10-25T18:58:43.087455,https://steamdb.info/app/286160/charts/
Magic: The Gathering Arena,2141910,Game,Wizards of the Coast LLC,Wizards of the Coast LLC,Windows macOS,"Unity Engine , EpicOnlineServices SDK",31870360,23 October 2025 – 22:44:04 UTC ( ),23 May 2023 – 15:29:00 UTC ( ),62.27,23174,,1,0,0,1,0,0,1,0,0,0,2025-10-25T18:59:08.738458,https://steamdb.info/app/2141910/charts/
S.T.A.L.K.E.R. 2: Heart of Chornobyl,1643320,Game,GSC Game World,"GSC Game World (worldwide) , SEGA (Japan) , 4Divinity (China and South East Asia)",Windows,Unreal Engine,31901802,25 October 2025 – 18:35:28 UTC ( ),20 November 2024 – 15:45:00 UTC ( ),79.71,120489,,0,1,0,0,1,1,0,0,0,0,2025-10-25T18:59:39.338145,https://steamdb.info/app/1643320/charts/
SnowRunner,1465360,Game,Saber Interactive,Focus Entertainment,Windows macOS,EpicOnlineServices SDK,31878670,24 October 2025 – 09:28:54 UTC ( ),17 May 2021 – 23:52:00 UTC ( ),90.1,46826,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:00:09.078878,https://steamdb.info/app/1465360/charts/
Anno 1800,916440,Game,Ubisoft Mainz,Ubisoft,Windows,Ubisoft Launcher,30861639,30 August 2025 – 09:12:58 UTC ( ),16 April 2019 – 16:00:00 UTC ( ),81.12,28524,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:00:28.548391,https://steamdb.info/app/916440/charts/
Core Keeper,1621690,Game,Pugstorm,"Fireshine Games , bilibili",Windows Linux,Unity Engine,31761475,20 October 2025 – 07:59:53 UTC ( ),27 August 2024 – 09:11:39 UTC ( ),92.88,57990,,1,0,0,0,0,1,0,0,0,0,2025-10-25T19:00:48.765563,https://steamdb.info/app/1621690/charts/
Persona 5 Royal,1687950,Game,ATLUS,SEGA,Windows,,31682380,15 October 2025 – 11:02:17 UTC ( ),21 October 2022 – 03:59:49 UTC ( ),96.54,113900,,0,1,0,0,0,0,0,0,0,0,2025-10-25T19:01:17.009352,https://steamdb.info/app/1687950/charts/
Total War: THREE KINGDOMS,779340,Game,"CREATIVE ASSEMBLY , Feral Interactive (Mac) , Feral Interactive (Linux)","SEGA , Feral Interactive (Mac) , Feral Interactive (Linux)",Windows macOS Linux,EpicOnlineServices SDK,31799067,20 October 2025 – 17:00:51 UTC ( ),23 May 2019 – 07:00:00 UTC ( ),72.37,105468,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:01:35.269856,https://steamdb.info/app/779340/charts/
The Isle,376210,Game,Afterthought LLC,Afterthought LLC,Windows,Unreal Engine,31899647,25 October 2025 – 14:46:41 UTC ( ),2 December 2015 – 03:27:00 UTC ( ),80.85,100120,,1,0,1,0,0,1,0,0,0,0,2025-10-25T19:02:09.319947,https://steamdb.info/app/376210/charts/
Split Fiction,2001120,Game,Hazelight Studios,Electronic Arts,Windows,Unreal Engine,31845634,22 October 2025 – 20:24:01 UTC ( ),6 March 2025 – 16:05:00 UTC ( ),97.22,94898,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:02:30.512199,https://steamdb.info/app/2001120/charts/
theHunter: Call of the Wild™,518790,Game,Expansive Worlds,Avalanche Studios,Windows,"ApexEngine Engine , EpicOnlineServices SDK",31885516,24 October 2025 – 15:29:41 UTC ( ),16 February 2017 – 09:40:00 UTC ( ),88.86,184111,,1,0,0,1,0,1,0,0,0,0,2025-10-25T19:02:55.635858,https://steamdb.info/app/518790/charts/
Total War: ROME II - Emperor Edition,214950,Game,"CREATIVE ASSEMBLY , Feral Interactive","SEGA , Feral Interactive",Windows macOS,Warscape Engine,31856745,23 October 2025 – 10:25:05 UTC ( ),3 September 2013 – 07:00:00 UTC ( ),83.65,90131,,1,1,0,0,0,0,0,0,0,0,2025-10-25T19:03:28.606250,https://steamdb.info/app/214950/charts/
Detroit: Become Human,1222140,Game,Quantic Dream,Quantic Dream,Windows,,31711413,16 October 2025 – 17:53:18 UTC ( ),18 June 2020 – 10:17:00 UTC ( ),95.94,187160,,0,0,0,0,0,0,0,0,0,0,2025-10-25T19:03:55.235250,https://steamdb.info/app/1222140/charts/
Lossless Scaling,993090,Application,THS,THS,Windows,,31650829,13 October 2025 – 23:15:32 UTC ( ),28 December 2018 – 11:17:20 UTC ( ),89.82,30734,,0,0,0,0,0,0,0,0,0,0,2025-10-25T19:04:14.564979,https://steamdb.info/app/993090/charts/
Vampire Survivors,1794680,Game,poncle,poncle,Windows macOS,Unity Engine,31899980,25 October 2025 – 15:20:14 UTC ( ),20 October 2022 – 16:01:28 UTC ( ),98.44,254315,,0,1,0,0,0,1,0,0,0,0,2025-10-25T19:04:37.295186,https://steamdb.info/app/1794680/charts/
Space Engineers,244850,Game,Keen Software House,Keen Software House,Windows,"XNA Engine , EpicOnlineServices SDK",31885728,24 October 2025 – 15:39:46 UTC ( ),28 February 2019 – 17:59:00 UTC ( ),88.49,134304,,1,0,0,0,1,1,0,0,0,0,2025-10-25T19:04:57.477998,https://steamdb.info/app/244850/charts/
Ready or Not,1144200,Game,VOID Interactive,VOID Interactive,Windows,"Unreal Engine , EpicOnlineServices SDK",31894348,25 October 2025 – 02:27:13 UTC ( ),13 December 2023 – 18:01:00 UTC ( ),75.8,300015,,1,0,0,0,0,1,0,0,0,0,2025-10-25T19:06:11.986317,https://steamdb.info/app/1144200/charts/
House Flipper 2,1190970,Game,Frozen District,Frozen District,Windows,"Unity Engine , EpicOnlineServices SDK",31898054,25 October 2025 – 11:29:09 UTC ( ),14 December 2023 – 12:53:00 UTC ( ),86.15,15614,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:08:31.310221,https://steamdb.info/app/1190970/charts/
People Playground,1118200,Game,mestiez,Studio Minus,Windows,Unity Engine,31471842,3 October 2025 – 21:11:37 UTC ( ),23 July 2019 – 16:08:27 UTC ( ),98.53,292496,,0,1,0,0,1,1,0,0,0,0,2025-10-25T19:10:05.206914,https://steamdb.info/app/1118200/charts/
MapleStory,216150,Game,NEXON Korea Corporation,Nexon America Inc.,Windows,"BlackCipher AntiCheat , Nexon Launcher",31865287,23 October 2025 – 17:28:49 UTC ( ),9 August 2012 – 21:04:00 UTC ( ),62.42,14619,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:10:34.061243,https://steamdb.info/app/216150/charts/
Dispatch,2592160,Game,AdHoc Studio,AdHoc Studio,Windows,Unreal Engine,31899967,25 October 2025 – 15:19:19 UTC ( ),22 October 2025 – 14:00:43 UTC ( ),87.97,6767,,0,0,0,0,0,0,0,0,0,0,2025-10-25T19:10:52.283152,https://steamdb.info/app/2592160/charts/
Battlefield™ 1,1238840,Game,DICE,Electronic Arts,Windows,"EA_AntiCheat AntiCheat , TheiaAntiTamper AntiCheat , Frostbite Engine , EA_App Launcher",31865459,23 October 2025 – 17:40:26 UTC ( ),11 June 2020 – 14:54:00 UTC ( ),86.49,205159,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:11:22.083071,https://steamdb.info/app/1238840/charts/
Lethal Company,1966720,Game,Zeekerss,Zeekerss,Windows,Unity Engine,31479527,4 October 2025 – 11:43:02 UTC ( ),23 October 2023 – 21:09:00 UTC ( ),97.11,495196,,1,0,0,0,0,0,0,0,0,0,2025-10-25T19:11:52.292891,https://steamdb.info/app/1966720/charts/
VPet,1920960,Game,LB Game,LB Game,Windows,,31847995,22 October 2025 – 23:19:29 UTC ( ),14 August 2023 – 02:00:10 UTC ( ),98.28,47836,,1,0,0,0,1,0,0,1,0,0,2025-10-25T19:12:23.620303,https://steamdb.info/app/1920960/charts/
Elite Dangerous,359320,Game,Frontier Developments,Frontier Developments,Windows,"Cobra Engine , EpicOnlineServices SDK",31704407,16 October 2025 – 11:44:45 UTC ( ),2 April 2015 – 13:54:00 UTC ( ),77.3,102617,,1,0,0,1,0,1,0,0,0,1,2025-10-25T19:12:54.668466,https://steamdb.info/app/359320/charts/
Half Sword Demo,2642680,Demo,Half Sword Games,Game Seer Publishing,Windows,Unreal Engine,31705493,16 October 2025 – 12:49:46 UTC ( ),13 October 2023 – 19:34:06 UTC ( ),,,6927,0,0,0,0,0,0,0,0,0,0,2025-10-25T19:13:21.104036,https://steamdb.info/app/2642680/charts/
Disney Dreamlight Valley,1401590,Game,Gameloft,Gameloft,Windows,"Unity Engine , EpicOnlineServices SDK",31897900,25 October 2025 – 11:07:17 UTC ( ),5 December 2023 – 14:05:00 UTC ( ),92.06,21968,,1,0,0,1,0,1,0,0,0,0,2025-10-25T19:13:49.132806,https://steamdb.info/app/1401590/charts/
Sea of Thieves,1172620,Game,Rare Ltd,Xbox Game Studios,Windows,"EasyAntiCheat AntiCheat , Unreal Engine , EpicOnlineServices SDK",31878797,24 October 2025 – 09:35:34 UTC ( ),3 June 2020 – 10:05:00 UTC ( ),89.03,361111,,1,1,0,1,0,1,0,0,0,0,2025-10-25T19:14:30.300920,https://steamdb.info/app/1172620/charts/
Among Us,945360,Game,Innersloth,Innersloth,Windows,"Unity Engine , EpicOnlineServices SDK",31842139,22 October 2025 – 16:59:31 UTC ( ),16 November 2018 – 17:00:00 UTC ( ),91.87,711759,,1,1,0,1,0,1,0,0,0,0,2025-10-25T19:14:52.086996,https://steamdb.info/app/945360/charts/
Titanfall® 2,1237970,Game,Respawn Entertainment,Electronic Arts,Windows,"Source Engine , EA_App Launcher",31880776,24 October 2025 – 11:19:51 UTC ( ),18 June 2020 – 18:53:00 UTC ( ),95.5,264327,,1,1,0,0,0,0,0,0,1,1,2025-10-25T19:15:11.605849,https://steamdb.info/app/1237970/charts/
Stellar Blade™,3489700,Game,SHIFT UP Corporation,PlayStation Publishing LLC (excluding China),Windows,"Unreal Engine , EpicOnlineServices SDK",31793731,20 October 2025 – 13:53:03 UTC ( ),11 June 2025 – 21:55:23 UTC ( ),93.53,63856,,0,1,0,0,0,0,0,1,0,0,2025-10-25T19:15:39.333922,https://steamdb.info/app/3489700/charts/
Guild Wars 2,1284210,Game,ArenaNet®,"ArenaNet® , NCSOFT",Windows,,31715031,16 October 2025 – 21:37:07 UTC ( ),23 August 2022 – 18:32:00 UTC ( ),88.7,23846,,1,0,0,1,0,1,0,0,0,0,2025-10-25T19:16:06.828649,https://steamdb.info/app/1284210/charts/
Transport Fever 2,1066780,Game,Urban Games,Good Shepherd Entertainment,Windows macOS Linux,,29709450,23 June 2025 – 18:39:09 UTC ( ),11 December 2019 – 09:01:00 UTC ( ),90.36,29640,,0,0,0,0,1,1,0,0,0,0,2025-10-25T19:16:33.605482,https://steamdb.info/app/1066780/charts/
Barotrauma,602960,Game,"FakeFish , Undertow Games",Daedalic Entertainment,Windows macOS Linux,"MonoGame Engine , XNA Engine , EpicOnlineServices SDK",31836103,22 October 2025 – 11:48:08 UTC ( ),13 March 2023 – 16:39:00 UTC ( ),93.92,79251,,1,1,0,0,1,1,0,0,0,0,2025-10-25T19:16:55.099509,https://steamdb.info/app/602960/charts/
Warborne Above Ashes,3142050,Game,Qooland Games,Qooland Games,Windows,"Unity Engine , EpicOnlineServices SDK",31892636,24 October 2025 – 23:19:44 UTC ( ),19 September 2025 – 01:55:45 UTC ( ),48.31,2364,,1,0,0,1,0,1,0,0,0,0,2025-10-25T19:17:21.582349,https://steamdb.info/app/3142050/charts/
DSX,1812620,Application,Paliverse,Paliverse,Windows,,31670228,14 October 2025 – 20:11:09 UTC ( ),24 June 2022 – 11:45:54 UTC ( ),68.65,6348,,0,0,0,0,1,0,0,0,0,0,2025-10-25T19:17:46.875852,https://steamdb.info/app/1812620/charts/
DARK SOULS™ III,374320,Game,"FromSoftware, Inc.","FromSoftware, Inc. , Bandai Namco Entertainment",Windows,,29651367,19 June 2025 – 14:41:42 UTC ( ),11 April 2016 – 22:00:00 UTC ( ),94.34,422056,,1,1,0,0,0,0,0,0,1,1,2025-10-25T19:21:47.408794,https://steamdb.info/app/374320/charts/
Pax Dei,1995520,Game,Mainframe Industries,Mainframe Industries,Windows,"EasyAntiCheat AntiCheat , Unreal Engine , EpicOnlineServices SDK",31879509,24 October 2025 – 10:09:21 UTC ( ),16 October 2025 – 14:52:31 UTC ( ),59.08,7909,,1,0,0,1,0,1,0,0,0,0,2025-10-25T19:22:19.186967,https://steamdb.info/app/1995520/charts/
Resident Evil 4,2050650,Game,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Windows,RE_Engine Engine,31870426,23 October 2025 – 22:49:42 UTC ( ),24 March 2023 – 04:00:00 UTC ( ),97.72,199083,,0,1,0,0,0,1,0,0,0,0,2025-10-25T19:22:46.012038,https://steamdb.info/app/2050650/charts/
Microsoft Flight Simulator (2020),1250410,Game,Asobo Studio,Xbox Game Studios,Windows,Zouna Engine,31902131,25 October 2025 – 19:19:45 UTC ( ),18 August 2020 – 04:00:00 UTC ( ),78.7,68129,,1,0,0,1,0,0,0,0,0,0,2025-10-25T19:23:13.946098,https://steamdb.info/app/1250410/charts/
Ninja Gaiden 4,2627260,Game,"PlatinumGames Inc. / Team NINJA / KOEI TECMO GAMES CO., LTD.",Xbox Game Studios,Windows,,31899967,25 October 2025 – 15:19:19 UTC ( ),20 October 2025 – 23:59:00 UTC ( ),91.58,2959,,0,1,0,0,0,1,0,0,0,0,2025-10-25T19:23:40.453561,https://steamdb.info/app/2627260/charts/
Overcooked! 2,728880,Game,"Ghost Town Games Ltd. , Team17",Team17,Windows macOS Linux,Unity Engine,31482096,4 October 2025 – 16:18:34 UTC ( ),7 August 2018 – 16:01:00 UTC ( ),90.56,76371,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:24:03.358749,https://steamdb.info/app/728880/charts/
The Walking Dead: The Telltale Definitive Series,1449690,Game,Skybound Games,Skybound Games,Windows,TelltaleTool Engine,31885278,24 October 2025 – 15:19:50 UTC ( ),29 October 2020 – 17:16:54 UTC ( ),96.52,34644,,0,0,0,0,0,1,0,0,0,0,2025-10-25T19:24:36.283250,https://steamdb.info/app/1449690/charts/
Deep Rock Galactic: Survivor,2321470,Game,Funday Games,Ghost Ship Publishing,Windows,Unity Engine,31899973,25 October 2025 – 15:19:55 UTC ( ),17 September 2025 – 11:00:49 UTC ( ),86.05,41449,,0,1,0,0,0,1,0,0,0,0,2025-10-25T19:25:07.687708,https://steamdb.info/app/2321470/charts/
Divinity: Original Sin 2,435150,Game,Larian Studios,Larian Studios,Windows macOS,Divinity_Engine Engine,31477548,4 October 2025 – 07:37:24 UTC ( ),14 September 2017 – 15:12:00 UTC ( ),95.79,193488,,1,1,0,0,1,0,0,0,0,0,2025-10-25T19:25:38.590348,https://steamdb.info/app/435150/charts/
Age of Empires III: Definitive Edition,933110,Game,"World's Edge , Tantalus Media , Forgotten Empires",Xbox Game Studios,Windows,,31758744,20 October 2025 – 02:53:55 UTC ( ),15 October 2020 – 13:00:00 UTC ( ),85.01,50556,,1,1,0,0,0,1,1,0,0,0,2025-10-25T19:26:17.909069,https://steamdb.info/app/933110/charts/
Assassin's Creed Odyssey,812140,Game,"Ubisoft Quebec , Ubisoft Montreal , Ubisoft Bucharest , Ubisoft Singapore , Ubisoft Montpellier , Ubisoft Kiev , Ubisoft Shanghai",Ubisoft,Windows,"UbisoftAnvil Engine , Ubisoft Launcher",31085965,12 September 2025 – 19:21:20 UTC ( ),5 October 2018 – 16:00:00 UTC ( ),88.82,177037,,0,1,0,1,0,1,0,0,1,1,2025-10-25T19:26:44.897558,https://steamdb.info/app/812140/charts/
Tom Clancy's The Division 2,2221490,Game,Ubisoft,Ubisoft,Windows,"EasyAntiCheat AntiCheat , Snowdrop Engine , Ubisoft Launcher , EpicOnlineServices SDK",31810784,21 October 2025 – 08:02:26 UTC ( ),12 January 2023 – 17:53:00 UTC ( ),77.26,26002,,1,0,0,1,0,1,0,0,0,0,2025-10-25T19:27:08.842261,https://steamdb.info/app/2221490/charts/
Forza Horizon 4,1293830,Game,Playground Games,Xbox Game Studios,Windows,,30431513,5 August 2025 – 17:05:08 UTC ( ),9 March 2021 – 17:48:00 UTC ( ),90.79,296996,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:27:30.812848,https://steamdb.info/app/1293830/charts/
Le Mans Ultimate,2399420,Game,Studio 397,Studio 397,Windows,,31863249,23 October 2025 – 15:59:28 UTC ( ),22 July 2025 – 09:00:39 UTC ( ),78.37,11342,,1,0,0,0,0,1,0,0,0,0,2025-10-25T19:28:02.260190,https://steamdb.info/app/2399420/charts/
Aimlabs,714010,Game,Statespace,Statespace,Windows,Unity Engine,31895944,25 October 2025 – 06:05:21 UTC ( ),17 June 2023 – 00:11:25 UTC ( ),91.83,128459,,0,0,0,1,1,1,0,1,0,0,2025-10-25T19:28:29.557469,https://steamdb.info/app/714010/charts/
Aseprite,431730,Application,Igara Studio,Igara Studio,Windows macOS Linux,,31831339,22 October 2025 – 07:19:14 UTC ( ),22 February 2016 – 12:38:51 UTC ( ),99.02,23471,,0,0,0,0,0,0,0,0,0,0,2025-10-25T19:28:49.725160,https://steamdb.info/app/431730/charts/
Warhammer: Vermintide 2,552500,Game,Fatshark,Fatshark,Windows,"EasyAntiCheat AntiCheat , Bitsquid Engine , EpicOnlineServices SDK",31884301,24 October 2025 – 14:32:03 UTC ( ),8 March 2018 – 18:00:00 UTC ( ),84.88,135837,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:29:18.458424,https://steamdb.info/app/552500/charts/
Shape of Dreams,2444750,Game,Lizard Smoothie,NEOWIZ,Windows,"Unity Engine , EpicOnlineServices SDK",31816759,21 October 2025 – 13:53:02 UTC ( ),11 September 2025 – 01:57:37 UTC ( ),86.82,10342,,1,0,0,0,0,0,0,0,0,0,2025-10-25T19:30:15.758332,https://steamdb.info/app/2444750/charts/
Medieval Dynasty,1129580,Game,Render Cube,Toplitz Productions,Windows,"Unreal Engine , EpicOnlineServices SDK",31836188,22 October 2025 – 11:53:26 UTC ( ),23 September 2021 – 10:02:00 UTC ( ),90.68,47242,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:30:54.314280,https://steamdb.info/app/1129580/charts/
Mass Effect™ Legendary Edition,1328670,Game,BioWare,Electronic Arts,Windows,"Unreal Engine , EA_App Launcher",31865459,23 October 2025 – 17:40:26 UTC ( ),14 May 2021 – 15:00:00 UTC ( ),91.11,59658,,0,1,0,0,0,1,0,0,0,0,2025-10-25T19:31:36.316528,https://steamdb.info/app/1328670/charts/
Battlefield™ V,1238810,Game,DICE,Electronic Arts,Windows,"EA_AntiCheat AntiCheat , TheiaAntiTamper AntiCheat , Frostbite Engine , EA_App Launcher",31865459,23 October 2025 – 17:40:26 UTC ( ),11 June 2020 – 14:55:00 UTC ( ),70.8,258440,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:32:06.149031,https://steamdb.info/app/1238810/charts/
Borderlands 3,397540,Game,Gearbox Software,2K,Windows,Unreal Engine,31593391,10 October 2025 – 11:15:49 UTC ( ),13 March 2020 – 14:00:00 UTC ( ),80.81,159787,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:32:47.379359,https://steamdb.info/app/397540/charts/
BLOODSTRIKE,3199170,Game,NetEase Games,NetEase Games,Windows,,31835597,22 October 2025 – 11:19:39 UTC ( ),13 March 2025 – 16:00:10 UTC ( ),80.02,12204,,1,0,0,1,0,1,1,0,0,0,2025-10-25T19:33:34.713262,https://steamdb.info/app/3199170/charts/
MY HERO ULTRA RUMBLE,1607250,Game,Byking Inc.,Bandai Namco Entertainment,Windows,"EasyAntiCheat AntiCheat , Unreal Engine , EpicOnlineServices SDK",31873502,24 October 2025 – 03:01:56 UTC ( ),28 September 2023 – 22:02:00 UTC ( ),66.95,21744,,1,0,0,1,0,0,1,0,0,0,2025-10-25T19:34:06.131413,https://steamdb.info/app/1607250/charts/
MONSTER HUNTER RISE,1446780,Game,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Windows,RE_Engine Engine,31825796,21 October 2025 – 23:19:05 UTC ( ),12 January 2022 – 16:59:00 UTC ( ),82.46,116460,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:34:51.999247,https://steamdb.info/app/1446780/charts/
Sekiro™: Shadows Die Twice,814380,Game,"FromSoftware, Inc.","Activision (Excluding Japan and Asia) , FromSoftware, Inc. (Japan) , 方块游戏 (Asia)",Windows,,30533433,11 August 2025 – 17:39:45 UTC ( ),22 March 2019 – 04:00:00 UTC ( ),95.27,335333,,0,1,0,0,0,0,0,0,0,1,2025-10-25T19:35:14.184198,https://steamdb.info/app/814380/charts/
Total War: MEDIEVAL II - Definitive Edition,4700,Game,"CREATIVE ASSEMBLY , Feral Interactive (Mac) , Feral Interactive (Linux)","SEGA , Feral Interactive (Mac) , Feral Interactive (Linux)",Windows macOS Linux,,30715761,21 August 2025 – 16:20:42 UTC ( ),15 November 2006 – 18:00:00 UTC ( ),95.67,34354,,1,1,0,0,0,1,0,0,0,0,2025-10-25T19:35:36.178603,https://steamdb.info/app/4700/charts/
