title,app_id,app_type,developer,publisher,platforms,technologies,last_changenumber,last_record_update,release_date,positive_reviews_per,total_reviews,player_count_now,multiplayer,steam_trading_cards,valve_anti_cheat,in_app_purchases,steam_workshop,cloud_gaming,cross_platform_multiplayer,stats,remote_play_on_phone,remote_play_on_tablet,sys_date,href
Terraria,105600,Game,Re-Logic,Re-Logic,Windows macOS Linux,"FNA Engine , XNA Engine",31856731,23 October 2025 – 10:23:54 UTC ( ),16 May 2011 – 17:52:00 UTC ( ),97.44,1447190,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:30:44.428505,https://steamdb.info/app/105600/charts/
7 Days to Die,251570,Game,The Fun Pimps,The Fun Pimps Entertainment LLC,Windows macOS Linux,"EasyAntiCheat AntiCheat , Unity Engine , EpicOnlineServices SDK",31893809,25 October 2025 – 01:19:49 UTC ( ),25 July 2024 – 16:33:52 UTC ( ),87.08,385766,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:30:55.195696,https://steamdb.info/app/251570/charts/
Total War: WARHAMMER III,1142710,Game,"CREATIVE ASSEMBLY , Feral Interactive","SEGA , Feral Interactive",Windows macOS Linux,"Warscape Engine , EpicOnlineServices SDK",31893649,25 October 2025 – 01:00:09 UTC ( ),17 February 2022 – 06:00:00 UTC ( ),68.81,131937,,1,1,0,0,0,1,0,0,0,0,2025-10-25T17:31:05.953228,https://steamdb.info/app/1142710/charts/
Mount & Blade II: Bannerlord,261550,Game,TaleWorlds Entertainment,TaleWorlds Entertainment,Windows,EpicOnlineServices SDK,31900340,25 October 2025 – 16:01:38 UTC ( ),25 October 2022 – 07:03:00 UTC ( ),88.01,273336,,1,1,0,0,1,1,0,0,0,0,2025-10-25T17:31:15.636246,https://steamdb.info/app/261550/charts/
Garry's Mod,4000,Game,Facepunch Studios,Valve,Windows macOS Linux,Source Engine,31889161,24 October 2025 – 18:48:47 UTC ( ),29 November 2006 – 08:00:00 UTC ( ),96.81,1186115,,1,1,1,0,1,1,0,0,0,0,2025-10-25T17:31:37.617202,https://steamdb.info/app/4000/charts/
R.E.P.O.,3241660,Game,semiwork,semiwork,Windows,Unity Engine,31889951,24 October 2025 – 19:42:13 UTC ( ),26 February 2025 – 13:59:13 UTC ( ),96.14,240160,,1,0,0,0,0,1,0,0,0,0,2025-10-25T17:31:45.133612,https://steamdb.info/app/3241660/charts/
Escape the Backrooms,1943950,Game,Fancy Games,Secret Mode,Windows,Unreal Engine,31894591,25 October 2025 – 03:01:27 UTC ( ),23 October 2025 – 11:00:18 UTC ( ),90.7,111780,,1,0,0,0,0,1,0,0,0,0,2025-10-25T17:31:53.545762,https://steamdb.info/app/1943950/charts/
ELDEN RING,1245620,Game,"FromSoftware, Inc.","FromSoftware, Inc. , Bandai Namco Entertainment",Windows,"EasyAntiCheat AntiCheat , EpicOnlineServices SDK",31257394,23 September 2025 – 07:39:44 UTC ( ),24 February 2022 – 23:07:00 UTC ( ),92.96,1091786,,1,1,0,0,0,0,0,0,0,0,2025-10-25T17:32:04.691278,https://steamdb.info/app/1245620/charts/
Hogwarts Legacy,990080,Game,Avalanche Software,Warner Bros. Games,Windows,"Unreal Engine , EpicOnlineServices SDK",31889832,24 October 2025 – 19:33:35 UTC ( ),10 February 2023 – 17:57:00 UTC ( ),90.03,338348,,0,0,0,1,0,0,0,0,0,0,2025-10-25T17:32:13.218853,https://steamdb.info/app/990080/charts/
ARK: Survival Ascended,2399830,Game,"Studio Wildcard , Grove Street Games , Instinct Games","Studio Wildcard , Snail Games USA",Windows,"BattlEye AntiCheat , Unreal Engine , EpicOnlineServices SDK",31901252,25 October 2025 – 17:26:44 UTC ( ),26 October 2023 – 05:07:21 UTC ( ),59.17,86685,,1,0,0,0,0,1,0,0,0,0,2025-10-25T17:32:22.525213,https://steamdb.info/app/2399830/charts/
BeamNG.drive,284160,Game,BeamNG,BeamNG,Windows,EpicOnlineServices SDK,31889452,24 October 2025 – 19:11:02 UTC ( ),29 May 2015 – 16:06:00 UTC ( ),97.38,348313,,0,1,0,0,0,1,0,0,0,0,2025-10-25T17:32:43.213590,https://steamdb.info/app/284160/charts/
Hollow Knight,367520,Game,Team Cherry,Team Cherry,Windows macOS Linux,Unity Engine,31800088,20 October 2025 – 17:53:48 UTC ( ),24 February 2017 – 18:00:00 UTC ( ),96.94,487352,,0,1,0,0,0,1,0,0,1,1,2025-10-25T17:32:53.906565,https://steamdb.info/app/367520/charts/
The Elder Scrolls V: Skyrim Special Edition,489830,Game,Bethesda Game Studios,Bethesda Softworks,Windows,,31566109,9 October 2025 – 07:15:31 UTC ( ),28 October 2016 – 00:00:00 UTC ( ),92.1,348320,,0,0,0,0,0,1,0,0,1,1,2025-10-25T17:33:03.472242,https://steamdb.info/app/489830/charts/
